status,run_name,model_name,graph_type,horizon,seed,mae,rmse,masked_mape,is_synthetic_data
success,metr_la_5090_stgcn_improved_identity_h3_s42,stgcn_improved,identity,3.0,42.0,3.361651954359236,8.366227307467481,7.687290998003411,False
success,metr_la_5090_stgcn_improved_identity_h3_s43,stgcn_improved,identity,3.0,43.0,3.272793214944541,8.34723446090757,7.762937390351736,False
success,metr_la_5090_stgcn_improved_identity_h3_s44,stgcn_improved,identity,3.0,44.0,3.3028116914912022,8.283763020903608,7.742408767433334,False
success,metr_la_5090_stgcn_improved_identity_h6_s42,stgcn_improved,identity,6.0,42.0,4.0864985608644995,10.155471486635355,9.34026215367796,False
success,metr_la_5090_stgcn_improved_identity_h6_s43,stgcn_improved,identity,6.0,43.0,3.9586302320104005,10.199025043661992,9.129056165940678,False
success,metr_la_5090_stgcn_improved_identity_h6_s44,stgcn_improved,identity,6.0,44.0,4.053496286303511,10.130818293616175,9.26131744772094,False
success,metr_la_5090_stgcn_improved_identity_h12_s42,stgcn_improved,identity,12.0,42.0,5.397079548644326,12.509300029172149,11.989891725276475,False
success,metr_la_5090_stgcn_improved_identity_h12_s43,stgcn_improved,identity,12.0,43.0,5.216016370598974,12.553585441942134,11.924699915495381,False
success,metr_la_5090_stgcn_improved_identity_h12_s44,stgcn_improved,identity,12.0,44.0,5.232619559985889,12.526199885548964,11.869607871671258,False
success,metr_la_5090_stgcn_improved_physical_h3_s42,stgcn_improved,physical,3.0,42.0,3.2792246066092305,8.247674432594643,7.4904489586629,False
success,metr_la_5090_stgcn_improved_physical_h3_s43,stgcn_improved,physical,3.0,43.0,3.273158552422566,8.222489589840066,7.377267450204933,False
success,metr_la_5090_stgcn_improved_physical_h3_s44,stgcn_improved,physical,3.0,44.0,3.277381323608956,8.18890906968193,7.419908776756292,False
success,metr_la_5090_stgcn_improved_physical_h6_s42,stgcn_improved,physical,6.0,42.0,3.9754197325254714,10.095606736836395,8.883906130126721,False
success,metr_la_5090_stgcn_improved_physical_h6_s43,stgcn_improved,physical,6.0,43.0,3.9762153843788712,10.088430966705952,8.87324248760909,False
success,metr_la_5090_stgcn_improved_physical_h6_s44,stgcn_improved,physical,6.0,44.0,3.9776280399071333,10.045541734311874,8.965025579706605,False
success,metr_la_5090_stgcn_improved_physical_h12_s42,stgcn_improved,physical,12.0,42.0,5.143495647227257,12.397995157549204,11.561281670741613,False
success,metr_la_5090_stgcn_improved_physical_h12_s43,stgcn_improved,physical,12.0,43.0,5.121520950838597,12.353534715505905,11.464525313060484,False
success,metr_la_5090_stgcn_improved_physical_h12_s44,stgcn_improved,physical,12.0,44.0,5.167344925363063,12.414324070726545,11.516341464464839,False
success,metr_la_5090_stgcn_improved_correlation_h3_s42,stgcn_improved,correlation,3.0,42.0,4.02036927098604,8.83684013103374,9.920718160995648,False
success,metr_la_5090_stgcn_improved_correlation_h3_s43,stgcn_improved,correlation,3.0,43.0,3.924015654897764,8.874176845920287,9.446886752915795,False
success,metr_la_5090_stgcn_improved_correlation_h3_s44,stgcn_improved,correlation,3.0,44.0,3.47416178189261,8.189664354619502,7.868918919198947,False
success,metr_la_5090_stgcn_improved_correlation_h6_s42,stgcn_improved,correlation,6.0,42.0,4.596760159437776,10.124866048437037,10.907506758264974,False
success,metr_la_5090_stgcn_improved_correlation_h6_s43,stgcn_improved,correlation,6.0,43.0,4.466415406801285,10.308334229177122,10.558642251788166,False
success,metr_la_5090_stgcn_improved_correlation_h6_s44,stgcn_improved,correlation,6.0,44.0,4.176139046895736,9.979064595921182,9.582082424136054,False
success,metr_la_5090_stgcn_improved_correlation_h12_s42,stgcn_improved,correlation,12.0,42.0,5.325335870170191,12.10835467589955,11.81005829316462,False
success,metr_la_5090_stgcn_improved_correlation_h12_s43,stgcn_improved,correlation,12.0,43.0,5.395355117632022,12.150001330836146,12.103197853408606,False
success,metr_la_5090_stgcn_improved_correlation_h12_s44,stgcn_improved,correlation,12.0,44.0,5.600906697797074,12.53905649378964,12.726034763376587,False
skipped,,stgcn_improved,adaptive,,,,,,
